LUIZ CARLOS RAMOS,PSDC,RJ
LUIZ CLÁUDIO,PR,RO
LUIZ COUTO,PT,PB
LUIZ FERNANDO FARIA,PP,MG
LUIZ LAURO FILHO,PSB,SP
LUIZ NISHIMORI,PR,PR
LUIZ SÉRGIO,PT,RJ
LUIZA ERUNDINA,PSB,SP
LUIZIANNE LINS,PT,CE
MACEDO,PSL,CE
MAGDA MOFATTO,PR,GO
MAJOR OLIMPIO,PDT,SP
MANDETTA,DEM,MS
MANOEL JUNIOR,PMDB,PB
MARA GABRILLI,PSDB,SP
MARCELO AGUIAR,DEM,SP
MARCELO ÁLVARO ANTÔNIO,PRP,MG
MARCELO ARO,PHS,MG
MARCELO BELINATI,PP,PR
MARCELO CASTRO,PMDB,PI
MARCELO MATOS,PDT,RJ
MARCELO SQUASSONI,PRB,SP
MARCIO ALVINO,PR,SP
MÁRCIO MARINHO,PRB,BA
MARCO MAIA,PT,RS
MARCO TEBALDI,PSDB,SC
MARCON,PT,RS
MARCOS ABRÃO,PPS,GO
MARCOS MONTES,PSD,MG
MARCOS REATEGUI,PSC,AP
MARCOS ROGÉRIO,PDT,RO
MARCOS ROTTA,PMDB,AM
MARCOS SOARES,PR,RJ
MARCUS PESTANA,PSDB,MG
MARCUS VICENTE,PP,ES
MARGARIDA SALOMÃO,PT,MG
MARIA DO ROSÁRIO,PT,RS
MARIA HELENA,PSB,RR
MARIANA CARVALHO,PSDB,RO
MARINALDO ROSENDO,PSB,PE
MARINHA RAUPP,PMDB,RO
MÁRIO HERINGER,PDT,MG
MÁRIO NEGROMONTE JR.,PP,BA
MARQUINHO MENDES,PMDB,RJ
MARX BELTRÃO,PMDB,AL
MAURÍCIO QUINTELLA LESSA,PR,AL
MAURO LOPES,PMDB,MG
MAURO MARIANI,PMDB,SC
MAURO PEREIRA,PMDB,RS
MAX FILHO,PSDB,ES
MENDONÇA FILHO,DEM,PE
MERLONG SOLANO,PT,PI
MIGUEL HADDAD,PSDB,SP
MIGUEL LOMBARDI,PR,SP
MILTON MONTI,PR,SP
MIRO TEIXEIRA,PROS,RJ
MISAEL VARELLA,DEM,MG
MISSIONÁRIO JOSÉ OLIMPIO,PP,SP
MOEMA GRAMACHO,PT,BA
MORONI TORGAN,DEM,CE
MOSES RODRIGUES,PPS,CE
NELSON MARCHEZAN JUNIOR,PSDB,RS
NELSON MARQUEZELLI,PTB,SP
NELSON MEURER,PP,PR
NEWTON CARDOSO JR,PMDB,MG
NILSON LEITÃO,PSDB,MT
NILSON PINTO,PSDB,PA
NILTO TATTO,PT,SP
NILTON CAPIXABA,PTB,RO
ODELMO LEÃO,PP,MG
ODORICO MONTEIRO,PT,CE
ONYX LORENZONI,DEM,RS
ORLANDO SILVA,PCdoB,SP
OSMAR BERTOLDI,DEM,PR
OSMAR SERRAGLIO,PMDB,PR
OSMAR TERRA,PMDB,RS
OTAVIO LEITE,PSDB,RJ
PADRE JOÃO,PT,MG
PAES LANDIM,PTB,PI
PASTOR EURICO,PSB,PE
PASTOR FRANKLIN,PTdoB,MG
PAUDERNEY AVELINO,DEM,AM
PAULÃO,PT,AL
PAULO ABI-ACKEL,PSDB,MG
PAULO AZI,DEM,BA
PAULO FEIJÓ,PR,RJ
PAULO FOLETTO,PSB,ES
PAULO FREIRE,PR,SP
PAULO MAGALHÃES,PSD,BA
PAULO MALUF,PP,SP
PAULO PEREIRA DA SILVA,SD,SP
PAULO PIMENTA,PT,RS
PAULO TEIXEIRA,PT,SP
PEDRO CHAVES,PMDB,GO
PEDRO CUNHA LIMA,PSDB,PB
PEDRO FERNANDES,PTB,MA
PEDRO UCZAI,PT,SC
PEDRO VILELA,PSDB,AL
POMPEO DE MATTOS,PDT,RS
PR. MARCO FELICIANO,PSC,SP
PROFESSOR VICTÓRIO GALLI,PSC,MT
PROFESSORA DORINHA SEABRA REZENDE,DEM,TO
PROFESSORA MARCIVANIA,PT,AP
RAFAEL MOTTA,PROS,RN
RAIMUNDO GOMES DE MATOS,PSDB,CE
RAQUEL MUNIZ,PSC,MG
RAUL JUNGMANN,PPS,PE
REGINALDO LOPES,PT,MG
REMÍDIO MONAI,PR,RR
RENATA ABREU,PTN,SP
RENATO MOLLING,PP,RS
RENZO BRAZ,PP,MG
RICARDO BARROS,PP,PR
RICARDO IZAR,PSD,SP
RICARDO TEOBALDO,PTB,PE
RICARDO TRIPOLI,PSDB,SP
ROBERTO ALVES,PRB,SP
ROBERTO BALESTRA,PP,GO
ROBERTO BRITTO,PP,BA
ROBERTO FREIRE,PPS,SP
ROBERTO GÓES,PDT,AP
ROBERTO SALES,PRB,RJ
ROCHA,PSDB,AC
RODRIGO DE CASTRO,PSDB,MG
RODRIGO MAIA,DEM,RJ
RODRIGO MARTINS,PSB,PI
RODRIGO PACHECO,PMDB,MG
ROGÉRIO MARINHO,PSDB,RN
ROGÉRIO PENINHA MENDONÇA,PMDB,SC
ROGÉRIO ROSSO,PSD,DF
RÔMULO GOUVEIA,PSD,PB
RONALDO BENEDET,PMDB,SC
RONALDO CARLETTO,PP,BA
RONALDO FONSECA,PROS,DF
RONALDO LESSA,PDT,AL
RONALDO MARTINS,PRB,CE
RONALDO NOGUEIRA,PTB,RS
RONEY NEMER,PMDB,DF
ROSANGELA GOMES,PRB,RJ
ROSSONI,PSDB,PR
RUBENS BUENO,PPS,PR
RUBENS OTONI,PT,GO
RUBENS PEREIRA JÚNIOR,PCdoB,MA
SÁGUAS MORAES,PT,MT
SAMUEL MOREIRA,PSDB,SP
SANDES JÚNIOR,PP,GO
SANDRO ALEX,PPS,PR
SARAIVA FELIPE,PMDB,MG
SARNEY FILHO,PV,MA
SÉRGIO BRITO,PSD,BA
SÉRGIO MORAES,PTB,RS
SÉRGIO REIS,PRB,SP
SERGIO SOUZA,PMDB,PR
SERGIO VIDIGAL,PDT,ES
SERGIO ZVEITER,PSD,RJ
SHÉRIDAN,PSDB,RR
SIBÁ MACHADO,PT,AC
SILAS BRASILEIRO,PMDB,MG
SILAS CÂMARA,PSD,AM
SILAS FREIRE,PR,PI
SILVIO COSTA,PSC,PE
SILVIO TORRES,PSDB,SP
SIMÃO SESSIM,PP,RJ
SIMONE MORGADO,PMDB,PA
SORAYA SANTOS,PMDB,RJ
SÓSTENES CAVALCANTE,PSD,RJ
STEFANO AGUIAR,PSB,MG
SUBTENENTE GONZAGA,PDT,MG
TADEU ALENCAR,PSB,PE
TAKAYAMA,PSC,PR
TENENTE LÚCIO,PSB,MG
TEREZA CRISTINA,PSB,MS
TIA ERON,PRB,BA
TIRIRICA,PR,SP
TONINHO PINHEIRO,PP,MG
TONINHO WANDSCHEER,PT,PR
ULDURICO JUNIOR,PTC,BA
VALADARES FILHO,PSB,SE
VALDIR COLATTO,PMDB,SC
VALMIR ASSUNÇÃO,PT,BA
VALMIR PRASCIDELLI,PT,SP
VALTENIR PEREIRA,PROS,MT
VANDER LOUBET,PT,MS
VANDERLEI MACRIS,PSDB,SP
VENEZIANO VITAL DO RÊGO,PMDB,PB
VICENTE CANDIDO,PT,SP
VICENTINHO,PT,SP
VICENTINHO JÚNIOR,PSB,TO
VICTOR MENDES,PV,MA
VINICIUS CARVALHO,PRB,SP
VINICIUS GURGEL,PR,AP
VITOR LIPPI,PSDB,SP
VITOR VALIM,PMDB,CE
WADSON RIBEIRO,PCdoB,MG
WALDENOR PEREIRA,PT,BA
WALDIR MARANHÃO,PP,MA
WALNEY ROCHA,PTB,RJ
WALTER ALVES,PMDB,RN
WALTER IHOSHI,PSD,SP
WASHINGTON REIS,PMDB,RJ
WELITON PRADO,PT,MG
WELLINGTON ROBERTO,PR,PB
WEVERTON ROCHA,PDT,MA
WILLIAM WOO,PV,SP
WILSON FILHO,PTB,PB
WLADIMIR COSTA,SD,PA
WOLNEY QUEIROZ,PDT,PE
ZÉ CARLOS,PT,MA
ZÉ GERALDO,PT,PA
ZÉ SILVA,SD,MG
ZECA CAVALCANTI,PTB,PE
ZECA DIRCEU,PT,PR
ZECA DO PT,PT,MS
ZENAIDE MAIA,PR,RN
